0 23678 isHighCard 95 0 1x2,1x3,1x6,1x7,1x8 95
1 2479A isHighCard 157 0 1x2,1x4,1x7,1x9,1xA 409
2 2483T isHighCard 632 0 1x2,1x3,1x4,1x8,1xT 2305
3 2584A isHighCard 775 0 1x2,1x4,1x5,1x8,1xA 5405
4 26KQT isHighCard 380 0 1x2,1x6,1xK,1xQ,1xT 7305
5 27T98 isHighCard 25 0 1x2,1x7,1x8,1x9,1xT 7455
6 27A85 isHighCard 160 0 1x2,1x5,1x7,1x8,1xA 8575
7 284QK isHighCard 511 0 1x2,1x4,1x8,1xQ,1xK 12663
8 2897K isHighCard 617 0 1x2,1x7,1x8,1x9,1xK 18216
9 28A4T isHighCard 38 0 1x2,1x4,1x8,1xA,1xT 18596
10 28AT7 isHighCard 307 0 1x2,1x7,1x8,1xA,1xT 21973
11 29478 isHighCard 352 0 1x2,1x4,1x7,1x8,1x9 26197
12 2957K isHighCard 959 0 1x2,1x5,1x7,1x9,1xK 38664
13 2TQ84 isHighCard 494 0 1x2,1x4,1x8,1xT,1xQ 45580
14 2K3A7 isHighCard 414 0 1x2,1x3,1x7,1xK,1xA 51790
15 2K5A6 isHighCard 97 0 1x2,1x5,1x6,1xK,1xA 53342
16 2KT4Q isHighCard 190 0 1x2,1x4,1xK,1xT,1xQ 56572
17 2A6KQ isHighCard 203 0 1x2,1x6,1xA,1xK,1xQ 60226
18 32958 isHighCard 93 0 1x2,1x3,1x5,1x8,1x9 61993
19 35274 isHighCard 746 0 1x2,1x3,1x4,1x5,1x7 76913
20 38K5A isHighCard 662 0 1x3,1x5,1x8,1xK,1xA 90815
21 395A4 isHighCard 449 0 1x3,1x4,1x5,1x9,1xA 100693
22 3Q7T2 isHighCard 322 0 1x2,1x3,1x7,1xQ,1xT 108099
23 3QA86 isHighCard 210 0 1x3,1x6,1x8,1xQ,1xA 113139
24 3K924 isHighCard 824 0 1x2,1x3,1x4,1x9,1xK 133739
25 3AK98 isHighCard 626 0 1x3,1x8,1x9,1xA,1xK 150015
26 438Q7 isHighCard 774 0 1x3,1x4,1x7,1x8,1xQ 170913
27 4523Q isHighCard 676 0 1x2,1x3,1x4,1x5,1xQ 189841
28 46589 isHighCard 604 0 1x4,1x5,1x6,1x8,1x9 207357
29 4758K isHighCard 54 0 1x4,1x5,1x7,1x8,1xK 208977
30 4768T isHighCard 26 0 1x4,1x6,1x7,1x8,1xT 209783
31 48A72 isHighCard 65 0 1x2,1x4,1x7,1x8,1xA 211863
32 4T29Q isHighCard 605 0 1x2,1x4,1x9,1xT,1xQ 231828
33 4T927 isHighCard 7 0 1x2,1x4,1x7,1x9,1xT 232066
34 4TA83 isHighCard 817 0 1x3,1x4,1x8,1xT,1xA 260661
35 4K295 isHighCard 242 0 1x2,1x4,1x5,1x9,1xK 269373
36 4K692 isHighCard 512 0 1x2,1x4,1x6,1x9,1xK 288317
37 4A5T8 isHighCard 288 0 1x4,1x5,1x8,1xA,1xT 299261
38 4AK52 isHighCard 521 0 1x2,1x4,1x5,1xA,1xK 319580
39 54Q3T isHighCard 514 0 1x3,1x4,1x5,1xQ,1xT 340140
40 56K2Q isHighCard 846 0 1x2,1x5,1x6,1xK,1xQ 374826
41 58324 isHighCard 934 0 1x2,1x3,1x4,1x5,1x8 414054
42 598K2 isHighCard 298 0 1x2,1x5,1x8,1x9,1xK 426868
43 59T6A isHighCard 11 0 1x5,1x6,1x9,1xT,1xA 427352
44 5T847 isHighCard 241 0 1x4,1x5,1x7,1x8,1xT 438197
45 5Q28K isHighCard 391 0 1x2,1x5,1x8,1xQ,1xK 456183
46 5Q42T isHighCard 847 0 1x2,1x4,1x5,1xQ,1xT 495992
47 5A36Q isHighCard 326 0 1x3,1x5,1x6,1xA,1xQ 511640
48 63294 isHighCard 404 0 1x2,1x3,1x4,1x6,1x9 531436
49 6357A isHighCard 173 0 1x3,1x5,1x6,1x7,1xA 540086
